2019-07-31 16:39:36,933: [12] m.main:INFO: Registered plugins: DetectUninitializedStorage, DetectExternalCallAndLeak, DetectSuicidal, DetectEnvInstruction, DetectUninitializedMemory, DetectReentrancyAdvanced, DetectDelegatecall, DetectIntegerOverflow, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal
2019-07-31 16:39:36,933: [12] m.main:INFO: Beginning analysis
2019-07-31 16:39:36,946: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-31 16:39:37,079: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-31 16:39:37,379: [12] m.c.manticore:INFO: Results in /mcore_ltf6obua
2019-07-31 16:39:38,151: [315] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectSuicidal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectUninitializedStorage, DetectEnvInstruction, DetectReentrancyAdvanced, DetectDelegatecall, DetectUninitializedMemory, DetectIntegerOverflow
2019-07-31 16:39:38,151: [315] m.main:INFO: Beginning analysis
2019-07-31 16:39:38,163: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-31 16:40:17,173: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-31 16:41:18,198: [1484] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-31 16:41:49,899: [1488] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-31 16:42:36,431: [1484] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-31 16:42:41,123: [1497] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-31 16:44:00,251: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 128)
2019-07-31 16:44:01,387: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 129)
2019-07-31 16:44:02,543: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 130)
2019-07-31 16:44:03,849: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 131)
2019-07-31 16:44:04,846: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 132)
2019-07-31 16:44:05,935: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 133)
2019-07-31 16:44:08,548: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 134)
2019-07-31 16:44:09,806: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 135)
2019-07-31 16:44:11,037: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 136)
2019-07-31 16:44:12,287: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 137)
2019-07-31 16:44:13,486: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 138)
2019-07-31 16:44:14,643: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 139)
2019-07-31 16:44:16,331: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 140)
2019-07-31 16:44:17,578: [1486] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 422784455287624970366692878832094287043077910368, offset 141)
