2019-07-25 01:53:12,297: [13] m.main:INFO: Registered plugins: DetectIntegerOverflow, DetectEnvInstruction, DetectSuicidal, DetectReentrancySimple, DetectReentrancyAdvanced, DetectDelegatecall, DetectUninitializedStorage, DetectUnusedRetVal, DetectInvalid, DetectExternalCallAndLeak, DetectUninitializedMemory
2019-07-25 01:53:12,297: [13] m.main:INFO: Beginning analysis
2019-07-25 01:53:12,364: [13] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 01:53:12,561: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-25 01:53:13,174: [13] m.c.manticore:INFO: Results in /mcore_j7qa580u
2019-07-25 01:53:14,064: [316] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall, DetectIntegerOverflow
2019-07-25 01:53:14,065: [316] m.main:INFO: Beginning analysis
2019-07-25 01:53:14,080: [316] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 01:53:31,357: [364] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:53:32,542: [364] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:53:57,820: [316] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-25 01:54:41,933: [1531] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:55:38,452: [1523] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 01:55:49,626: [1523] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:56:03,942: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 01:56:05,430: [1531] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:57:01,296: [1523] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 01:57:23,557: [1528] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 01:57:30,158: [1523] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 02:00:45,334: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 128)
2019-07-25 02:00:53,822: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 129)
2019-07-25 02:00:57,542: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 130)
2019-07-25 02:01:01,128: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 131)
2019-07-25 02:01:04,158: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 132)
2019-07-25 02:01:08,954: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 133)
2019-07-25 02:01:10,734: [1531] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 02:01:11,602: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 134)
2019-07-25 02:01:15,238: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 135)
2019-07-25 02:01:18,434: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 136)
2019-07-25 02:01:20,926: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 137)
2019-07-25 02:01:23,750: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 138)
2019-07-25 02:01:27,642: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 139)
2019-07-25 02:01:31,242: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 140)
2019-07-25 02:01:41,419: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 141)
2019-07-25 02:01:44,250: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 142)
2019-07-25 02:01:47,162: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 143)
2019-07-25 02:01:49,931: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 144)
2019-07-25 02:01:52,732: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 145)
2019-07-25 02:01:56,522: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 146)
2019-07-25 02:01:59,502: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 147)
2019-07-25 02:02:03,574: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 148)
2019-07-25 02:02:07,314: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 149)
2019-07-25 02:02:10,162: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 150)
2019-07-25 02:02:15,150: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 151)
2019-07-25 02:02:17,702: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 152)
2019-07-25 02:02:26,962: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 153)
2019-07-25 02:02:29,959: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 154)
2019-07-25 02:02:33,202: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 155)
2019-07-25 02:02:37,443: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 156)
2019-07-25 02:02:40,214: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 157)
2019-07-25 02:02:43,630: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 158)
2019-07-25 02:02:46,310: [1528] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 159)
2019-07-25 02:02:52,214: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 128)
2019-07-25 02:02:55,526: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 129)
2019-07-25 02:02:58,238: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 278559275769982274061094484615620575926869788589, offset 130)
