/unique_contracts/0x6bbd71e0ff7525854ca17f9324cd649f1de08fec.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ADDRESS_HARDCODED
patternId: adc165
severity: 1
line: 208
column: 18
content: 0x0d505edb01e222110806ffc91da89ae7b2696e11

ruleId: SOLIDITY_ERC20_APPROVE
patternId: af782c
severity: 2
line: 142
column: 4
content: functionapprove(address_spender,uint256_value)publicreturns(bool){allowed[msg.sender][_spender]=_value;emitApproval(msg.sender,_spender,_value);returntrue;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 422
column: 8
content: for(uinty=0;y<=winners.length-1;y++){addresswinner=winners[y];require(winner!=address(0),"Something impossible happened!  Refusing to burn these tokens!");uintticketNum=tickets[y];if(y==0){payout=prize/2;}if(y==1){payout=prize/7;}if(y>=2&&y<=20){payout=prize/50;}balances[winner]+=payout;emitWinner(ticketNum,winner,payout);emitTransfer(address(this),winner,payout);}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 378
column: 8
content: while(cursor<=winners.length-1&&gasleft()>42000){winner=winners[cursor];amount=amounts[cursor];ticket=tickets[cursor];emitWinner(ticket,winner,amount);cursor++;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 392
column: 8
content: while(cursor<=customers.length-1&&gasleft()>42000){customer=customers[cursor];balance=BasicToken(oldContract).balanceOf(customer);balances[customer]=balance;totalSupply+=balance;emitTransfer(address(this),customer,balance);cursor++;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 406
column: 8
content: while(cursor<=customers.length-1&&gasleft()>42000){customer=customers[cursor];balances[customer]+=amount;emitTransfer(address(this),customer,amount);giveTix(amount,customer);cursor++;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: 38f6c7
severity: 2
line: 378
column: 8
content: while(cursor<=winners.length-1&&gasleft()>42000){winner=winners[cursor];amount=amounts[cursor];ticket=tickets[cursor];emitWinner(ticket,winner,amount);cursor++;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: 38f6c7
severity: 2
line: 392
column: 8
content: while(cursor<=customers.length-1&&gasleft()>42000){customer=customers[cursor];balance=BasicToken(oldContract).balanceOf(customer);balances[customer]=balance;totalSupply+=balance;emitTransfer(address(this),customer,balance);cursor++;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: 38f6c7
severity: 2
line: 406
column: 8
content: while(cursor<=customers.length-1&&gasleft()>42000){customer=customers[cursor];balances[customer]+=amount;emitTransfer(address(this),customer,amount);giveTix(amount,customer);cursor++;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 60
column: 4
content: usingSafeMathforuint;

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 41
column: 78
content: bytesdata

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 55
column: 58
content: bytesdata

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 153
column: 58
content: bytesdata

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 372
column: 35
content: uint[]tickets

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 372
column: 51
content: address[]winners

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 372
column: 70
content: uint[]amounts

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 388
column: 48
content: address[]customers

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 403
column: 21
content: address[]customers

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 95
column: 4
content: addressmanager;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 182
column: 4
content: uintweiRatePerToken;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 183
column: 4
content: uintweiRatePerTicket;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 184
column: 4
content: uintcurrentDay;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 185
column: 4
content: uint[28]prizes;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 186
column: 4
content: uintjackpot;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 187
column: 4
content: uintsoldToday;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 188
column: 4
content: uinttotalSold;

SOLIDITY_VISIBILITY :8
SOLIDITY_SAFEMATH :1
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_EXTRA_GAS_IN_LOOPS :4
SOLIDITY_ADDRESS_HARDCODED :1
SOLIDITY_UPGRADE_TO_050 :8
SOLIDITY_GAS_LIMIT_IN_LOOPS :3
SOLIDITY_ERC20_APPROVE :1
