2019-08-06 00:12:33,827: [12] m.main:INFO: Registered plugins: DetectEnvInstruction, DetectReentrancyAdvanced, DetectInvalid, DetectDelegatecall, DetectUnusedRetVal, DetectSuicidal, DetectUninitializedStorage, DetectIntegerOverflow, DetectExternalCallAndLeak, DetectReentrancySimple, DetectUninitializedMemory
2019-08-06 00:12:33,828: [12] m.main:INFO: Beginning analysis
2019-08-06 00:12:33,873: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-06 00:12:34,002: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-06 00:12:34,394: [12] m.c.manticore:INFO: Results in /mcore_s9kciq1e
2019-08-06 00:12:35,243: [315] m.main:INFO: Registered plugins: DetectExternalCallAndLeak, DetectReentrancyAdvanced, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectDelegatecall, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectEnvInstruction, DetectUninitializedMemory
2019-08-06 00:12:35,244: [315] m.main:INFO: Beginning analysis
2019-08-06 00:12:35,273: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-06 00:12:57,414: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:12:58,721: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:13:23,817: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-06 00:13:53,752: [1523] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:14:18,944: [1515] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-06 00:14:24,156: [1515] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:14:31,493: [1528] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:14:31,665: [1521] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-06 00:15:00,259: [1523] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-06 00:15:13,280: [1524] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-06 00:15:14,223: [1523] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-06 00:16:50,652: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 128)
2019-08-06 00:16:52,726: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 129)
2019-08-06 00:16:54,658: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 130)
2019-08-06 00:16:56,385: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 131)
2019-08-06 00:16:58,481: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 132)
2019-08-06 00:17:03,050: [1528] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-06 00:17:03,977: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 133)
2019-08-06 00:17:05,981: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 134)
2019-08-06 00:17:08,549: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 135)
2019-08-06 00:17:11,269: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 136)
2019-08-06 00:17:13,482: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 137)
2019-08-06 00:17:15,599: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 138)
2019-08-06 00:17:17,449: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 139)
2019-08-06 00:17:19,477: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 140)
2019-08-06 00:17:21,469: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 141)
2019-08-06 00:17:23,440: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 142)
2019-08-06 00:17:26,169: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 143)
2019-08-06 00:17:28,424: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 144)
2019-08-06 00:17:30,469: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 145)
2019-08-06 00:17:34,760: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 146)
2019-08-06 00:17:37,057: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 147)
2019-08-06 00:17:38,648: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 148)
2019-08-06 00:17:40,457: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 149)
2019-08-06 00:17:42,744: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 150)
2019-08-06 00:17:43,361: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 128)
2019-08-06 00:17:45,168: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 129)
2019-08-06 00:17:45,766: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 151)
2019-08-06 00:17:46,864: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 130)
2019-08-06 00:17:47,650: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 152)
2019-08-06 00:17:49,170: [1519] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 896989380916497210722301777416306414193498451362, offset 153)
